gNMDAR,RyR,Ca
70.000000,50.000000,6.785434
70.000000,52.000000,7.147067
70.000000,54.000000,7.507675
70.000000,56.000000,7.867372
70.000000,58.000000,8.226135
70.000000,60.000000,8.583896
70.000000,62.000000,8.940549
70.000000,64.000000,9.295956
70.000000,66.000000,9.649958
70.000000,68.000000,10.002384
60.000000,50.000000,6.785434
60.000000,52.000000,7.147066
60.000000,54.000000,7.507675
60.000000,56.000000,7.867372
60.000000,58.000000,8.226134
60.000000,60.000000,8.583896
60.000000,62.000000,8.940549
60.000000,64.000000,9.295956
60.000000,66.000000,9.649958
60.000000,68.000000,10.002383
50.000000,50.000000,6.785433
50.000000,52.000000,7.147066
50.000000,54.000000,7.507675
50.000000,56.000000,7.867372
50.000000,58.000000,8.226134
50.000000,60.000000,8.583896
50.000000,62.000000,8.940549
50.000000,64.000000,9.295956
50.000000,66.000000,9.649958
50.000000,68.000000,10.002383
40.000000,50.000000,6.785433
40.000000,52.000000,7.147065
40.000000,54.000000,7.507675
40.000000,56.000000,7.867371
40.000000,58.000000,8.226134
40.000000,60.000000,8.583896
40.000000,62.000000,8.940549
40.000000,64.000000,9.295955
40.000000,66.000000,9.649957
40.000000,68.000000,10.002383
30.000000,50.000000,6.785433
30.000000,52.000000,7.147065
30.000000,54.000000,7.507675
30.000000,56.000000,7.867371
30.000000,58.000000,8.226134
30.000000,60.000000,8.583896
30.000000,62.000000,8.940549
30.000000,64.000000,9.295955
30.000000,66.000000,9.649957
30.000000,68.000000,10.002383
20.000000,50.000000,6.785433
20.000000,52.000000,7.147065
20.000000,54.000000,7.507674
20.000000,56.000000,7.867371
20.000000,58.000000,8.226134
20.000000,60.000000,8.583895
20.000000,62.000000,8.940548
20.000000,64.000000,9.295955
20.000000,66.000000,9.649957
20.000000,68.000000,10.002383
